Channel Name,Link,Subscribers,Avg Views,Eng Rate (%),Msgs/Day,Admin Username,Score,Reason
Usdjpy trading signal,https://t.me/usdjpy_forextrading_cadusd,84556,18,0.0%,18.0,Unknown,REJECT,Fake/Bot Farm (Eng: 0.0%)
@forex,https://t.me/forex_trading,358,9534,2663.3%,0.0,Unknown,GOLD,Hyper-engaged manual poster
Goldsignal.io forex trading,https://t.me/goldsignal_eurusd1,17790,10,0.1%,18.0,Unknown,REJECT,Fake/Bot Farm (Eng: 0.1%)
eToro Forex Trading Signals (Free),https://t.me/eToro_Forex_Trading_Signale,5215,8,0.2%,129.6,Unknown,REJECT,Fake/Bot Farm (Eng: 0.2%)
CRYPTO FX SIGNALS,https://t.me/crypto_signalsc,132155,56,0.0%,97.3,Unknown,REJECT,Fake/Bot Farm (Eng: 0.0%)
ch_zn 中文频道 超级索引 soso搜索 zh_ch,https://t.me/zhcn_chinese69,124054,3338,2.7%,0.0,Unknown,REJECT,Fake/Bot Farm (Eng: 2.7%)
中文语言包 中文汉化包 zhongwenbao,https://t.me/zwbao_chinese5,97063,515,0.5%,9.4,Unknown,REJECT,Fake/Bot Farm (Eng: 0.5%)
3DS MAX | PREMIUM 3D MODELS 👨🏻‍💻,https://t.me/textures_mebel_3D,8836,1423,16.1%,2.2,Unknown,SILVER,"Good engagement, worth a pitch"
Forex Trading Signals(Course),https://t.me/trading_forexb,102767,61,0.1%,97.3,Unknown,REJECT,Fake/Bot Farm (Eng: 0.1%)
Bangalore Premium Models,https://t.me/bangalore_premium_models,6,69,1165.8%,1.4,Unknown,REJECT,Too small to monetize
Forex Tradings,https://t.me/Forex_Tradings,21109,718,3.4%,2.4,Unknown,SILVER,"Good engagement, worth a pitch"
中文翻译包 中文语言包 zhongwenbao,https://t.me/zwsz_Chinese,77376,345,0.4%,0.7,Unknown,REJECT,Fake/Bot Farm (Eng: 0.4%)
AI MODELS / EXCLUSIVE PICTURES [ROLEX PREMIUM],https://t.me/VipRolexAImodels,819,182,22.3%,100.0,Unknown,REJECT,Already Automated (100.0 msgs/day)
中文汉化包 中文简体包 zhongwenbao,https://t.me/zhongwenbao8_chinese,110805,1400,1.3%,7.8,Unknown,REJECT,Fake/Bot Farm (Eng: 1.3%)
安装中文包 语言中文包 zhongwenbao_chinese,https://t.me/Chinese1_zwbao,87334,41,0.0%,2.8,@,REJECT,Fake/Bot Farm (Eng: 0.0%)
Premium Kyiv Models - Maison De Kyiv 🍓,https://t.me/kyivvipmodels,1202,449,37.4%,34.2,@maisondekyiv,REJECT,Already Automated (34.2 msgs/day)
eToro Forex Trading Signals (Free,https://t.me/eToro_Forex_Trading_Signalr,5007,1,0.0%,129.6,Unknown,REJECT,Fake/Bot Farm (Eng: 0.0%)
Videos Lesbianas 💦,https://t.me/prostitutas_masturbando,16669,413653,2481.6%,100.0,@CitasSexualess_bot,REJECT,Already Automated (100.0 msgs/day)
Лобби,https://t.me/lesbianlobby,22790,5798,25.4%,4.2,Unknown,SILVER,"Good engagement, worth a pitch"
#HoDorf - 00EF - Leaks,https://t.me/hotrashpage,152,6748,4440.0%,0.0,Unknown,GOLD,Hyper-engaged manual poster
